                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      7,                  1.752,                 2.3237,                 1.6665,                0.72757,                0.61607,                0.68824,                0.35983,                 1.6132,                 1.8273,                  1.578,               0.079268,              0.0022681,              0.0022681
                      8,                  1.654,                 2.0634,                  1.604,                0.88116,                0.66071,                0.75415,                0.39754,                  1.618,                 1.8267,                 1.5658,               0.076559,              0.0025588,              0.0025588
                      9,                 1.8707,                 2.1873,                 1.7926,                0.79295,                0.70148,                0.78051,                0.41927,                  1.596,                 1.7814,                 1.5364,               0.073848,              0.0028483,              0.0028483
                     10,                 1.7076,                 1.8856,                 1.6585,                0.59804,                0.71698,                0.79743,                0.43298,                  1.546,                 1.6428,                 1.4986,               0.071137,              0.0031366,              0.0031366
                     11,                  1.588,                 1.7899,                 1.5512,                0.63339,                 0.8008,                0.81116,                0.43405,                 1.5445,                 1.5405,                 1.4918,               0.068424,              0.0034238,              0.0034238
                     12,                 1.6289,                 1.6847,                 1.5738,                0.58542,                0.96845,                0.81239,                0.43848,                 1.5324,                 1.4404,                  1.483,                0.06571,              0.0037097,              0.0037097
                     13,                 1.5059,                 1.6223,                 1.5053,                0.72078,                0.97943,                0.80356,                0.45613,                  1.498,                 1.4905,                 1.4467,               0.062994,              0.0039945,              0.0039945
                     14,                 1.5469,                 1.6666,                 1.5017,                0.70495,                0.95705,                0.79753,                0.45995,                 1.4933,                 1.4877,                 1.4657,               0.060278,               0.004278,               0.004278
                     15,                 1.6143,                 1.5409,                 1.5438,                0.71938,                0.88475,                 0.7821,                0.44421,                 1.5107,                 1.3455,                 1.4889,                0.05756,              0.0045604,              0.0045604
                     16,                  1.521,                 1.5165,                 1.5153,                0.67715,                0.92256,                0.77905,                0.35589,                 1.7386,                 1.4427,                 1.6233,               0.054842,              0.0048416,              0.0048416
                     17,                 1.5654,                 1.5746,                 1.5574,                0.72116,                0.99138,                 0.7984,                0.45864,                 1.4509,                 1.3917,                 1.4114,               0.052122,              0.0051216,              0.0051216
                     18,                 1.5996,                 1.5175,                 1.5905,                0.72426,                0.97676,                0.80544,                0.36911,                 1.7795,                 1.3968,                 1.6261,                 0.0494,              0.0054004,              0.0054004
                     19,                 1.5877,                 1.6381,                 1.5526,                0.72598,                0.99479,                0.81551,                   0.46,                 1.4954,                 1.4344,                 1.4162,               0.046678,               0.005678,               0.005678
                     20,                 1.4807,                 1.4496,                 1.5109,                0.74497,                0.93258,                0.81261,                0.40929,                 1.5541,                 1.4061,                 1.4803,               0.043954,              0.0059545,              0.0059545
                     21,                 1.4962,                 1.4614,                 1.4834,                0.76157,                0.94643,                0.81469,                0.45773,                 1.4719,                 1.2195,                 1.4086,                0.04123,              0.0062297,              0.0062297
                     22,                 1.4444,                 1.3899,                 1.4227,                0.73879,                0.92272,                0.82651,                0.46795,                 1.4206,                 1.1309,                  1.414,               0.038504,              0.0065038,              0.0065038
